# fecha: 2026-09-15T11:37:36
# python: 3.14.2
# numpy: 2.4.3
# sha_v7: 3db0475ef0ea95ce
# sha_v7i: ddc6ad2816c965f6
# sha_este: 814fce58e7409a05
# NS: 20
# T: 100000
# condiciones: {"D_comida_solB0": ["{'nuevo': 'D', 'nuevo_val': 'comida', 'solap_B': 0}", "BD", 0], "D_comida_solB1": ["{'nuevo': 'D', 'nuevo_val': 'comida', 'solap_B': 1}", "BD", 1], "D_comida_solB2": ["{'nuevo': 'D', 'nuevo_val': 'comida', 'solap_B': 2}", "BD", 2], "AB0": ["{}", "AB", 0], "AB1": ["{'solap_AB': 1}", "AB", 1], "AB2": ["{'solap_AB': 2}", "AB", 2], "AB3": ["{'solap_AB': 3}", "AB", 3], "E2I_C_libre": ["{'nuevo': 'C'}", "AC", null], "CTRL_D_veneno_solB1": ["{'nuevo': 'D', 'nuevo_val': 'veneno', 'solap_B': 1}", "BD", 1], "CTRL_D_veneno_solB2": ["{'nuevo': 'D', 'nuevo_val': 'veneno', 'solap_B': 2}", "BD", 2]}
cond,seed,plast,solap_nominal,solap_par,solap_medido,solap_AB,solap_AC,solap_AD,solap_BC,solap_BD,solap_CD,splits,celdas,primer_split,estimulos_split,W_A,W_B,W_C,W_D,err_max,err_max_A,err_max_B,err_max_C,err_max_D,deaths
AB2,19,True,2,AB,2,2,0,0,1,1,2,5,35,609,AB,1.0,-3.0,-0.7,-0.7,0.6232,0.6024,0.6232,0.0,0.0,164
AB2,20,True,2,AB,2,2,0,0,0,0,1,5,35,758,A,1.0,-3.0,0.0,0.0,0.6086,0.6086,0.5401,0.0,0.0,155
AB2,1,False,2,AB,2,2,1,1,0,1,1,0,30,,,1.0,-2.97,1.79,-0.39,0.8106,0.8068,0.8106,0.0,0.0,142
AB2,2,False,2,AB,2,2,0,0,1,1,1,0,30,,,1.0,-2.97,-2.18,-2.18,0.8283,0.8283,0.8264,0.0,0.0,153
AB2,3,False,2,AB,2,2,0,0,1,1,1,0,30,,,0.99,-2.97,-2.18,-2.18,0.8474,0.8449,0.8474,0.0,0.0,143
AB2,4,False,2,AB,2,2,1,0,0,0,0,0,30,,,0.99,-2.97,1.78,0.0,0.8199,0.8181,0.8199,0.0,0.0,150
AB2,5,False,2,AB,2,2,0,0,0,0,1,0,30,,,1.0,-2.98,0.0,0.0,0.8592,0.8578,0.8592,0.0,0.0,156
AB2,6,False,2,AB,2,2,0,0,0,0,0,0,30,,,1.0,-2.97,0.0,0.0,0.8629,0.8629,0.8628,0.0,0.0,150
AB2,7,False,2,AB,2,2,0,0,0,0,1,0,30,,,1.0,-2.95,0.0,0.0,0.8586,0.856,0.8586,0.0,0.0,145
AB2,8,False,2,AB,2,2,0,0,0,1,1,0,30,,,1.0,-2.97,0.0,-2.18,0.8325,0.8305,0.8325,0.0,0.0,136
AB2,9,False,2,AB,2,2,1,0,0,1,1,0,30,,,1.0,-2.97,1.79,-2.18,0.8349,0.8333,0.8349,0.0,0.0,149
AB2,10,False,2,AB,2,2,0,0,1,0,1,0,30,,,1.0,-2.96,-2.18,0.0,0.8652,0.8652,0.8588,0.0,0.0,145
AB2,11,False,2,AB,2,2,0,0,0,0,2,0,30,,,1.0,-2.96,0.0,0.0,0.847,0.847,0.8448,0.0,0.0,150
AB2,12,False,2,AB,2,2,0,0,0,0,2,0,30,,,0.99,-2.97,0.0,0.0,0.8587,0.8587,0.8578,0.0,0.0,144
AB2,13,False,2,AB,2,2,1,0,1,1,1,0,30,,,1.0,-2.97,-0.39,-2.18,0.8374,0.8374,0.8365,0.0,0.0,138
AB2,14,False,2,AB,2,2,0,0,0,1,0,0,30,,,1.0,-2.95,0.0,-2.17,0.8372,0.8372,0.8337,0.0,0.0,159
AB2,15,False,2,AB,2,2,0,0,0,0,1,0,30,,,1.0,-2.98,0.0,0.0,0.8343,0.8316,0.8343,0.0,0.0,160
AB2,16,False,2,AB,2,2,0,0,0,0,2,0,30,,,1.0,-2.97,0.0,0.0,0.8404,0.8404,0.8398,0.0,0.0,158
AB2,17,False,2,AB,2,2,0,0,0,0,0,0,30,,,1.0,-2.98,0.0,0.0,0.7563,0.7523,0.7563,0.0,0.0,137
AB2,18,False,2,AB,2,2,0,0,1,1,2,0,30,,,1.0,-2.97,-2.18,-2.18,0.8567,0.8567,0.8565,0.0,0.0,149
