[17:33:38] SUBIDA N6 — mundos {'P': {'ancho': 11, 'alto': 11, 'cierre': 5, 'd_ini': 4}, 'E': {'ancho': 15, 'alto': 13, 'cierre': 6, 'd_ini': 5}} r_vis=1 T=100000 n_tel=40 semillas 6621-6640 brazos 11 pool=6 pid=23580 mundo_subida 484e34db8f2150da
[17:33:38]   regla 14 CIEGO  : 13 campos del 21-sep; difieren ['alto', 'prueba.cierre', 'prueba.d_ini'] (todas declaradas en PREREGISTRO §3)
[17:33:38]   regla 14 CAMINO : 13 campos del 21-sep; difieren ['alto', 'prueba.cierre', 'prueba.d_ini'] (todas declaradas en PREREGISTRO §3)
[17:43:37]   GF         limpio(rodeo) 0.925  limpio(atajo) 0.95  huye(rodeo) 0.0  pisa(rodeo) 0.075  pasos_c 18.475  comida 1914.5  muertes 10.0
[17:43:37]   BRUJULA    limpio(rodeo) 0.0  limpio(atajo) 0.05  huye(rodeo) 0.0  pisa(rodeo) 1.0  pasos_c 60.0  comida 1918.5  muertes 10.0
[17:43:37]   BARAJADO   limpio(rodeo) 0.0  limpio(atajo) 0.0  huye(rodeo) 0.575  pisa(rodeo) 1.0  pasos_c 60.0  comida 1914.5  muertes 10.0
[17:43:37]   INVERTIDO  limpio(rodeo) 0.0  limpio(atajo) 0.0  huye(rodeo) 0.8  pisa(rodeo) 1.0  pasos_c 60.0  comida 1914.5  muertes 10.0
[17:43:37]   PLACEBO    limpio(rodeo) 0.95  limpio(atajo) 1.0  huye(rodeo) 0.0  pisa(rodeo) 0.05  pasos_c 16.875  comida 1914.5  muertes 10.0
[17:43:37]   CIEGO_E    limpio(rodeo) 0.0  limpio(atajo) 0.0  huye(rodeo) 0.9  pisa(rodeo) 0.95  pasos_c 60.0  comida 138.0  muertes 217.5
[17:43:37]   GF_E       limpio(rodeo) 1.0  limpio(atajo) 1.0  huye(rodeo) 0.0  pisa(rodeo) 0.0  pasos_c 20.95  comida 1839.0  muertes 23.0
[17:43:37] PUERTAS (una linea por puerta, umbral al lado):
[17:43:37]   [PASA] R-1a rodea: limpio(rodeo) GF >=                            0.925  (umbral 0.6) CIEGO 0.0 CAMINO 0.0 GRAD 0.0 FILTRO 0.075 BARAJADO 0.0 BRUJULA 0.0
[17:43:37]   [PASA] R-1b es el mapa: GF - max(CIEGO,BARAJADO) >=               0.925  (umbral 0.25) 
[17:43:37]   [PASA] R-1c es el VENENO recordado: GF - BRUJULA >=               0.925  (umbral 0.25) pisa(rodeo) BRUJULA 1.0
[17:43:37]   [PASA] R-2a no es huida: huye(rodeo) GF <=                        0.0  (umbral 0.2) 
[17:43:37]   [PASA] R-2b balanceada: J = limpio(rodeo)+limpio(atajo)-1 >=      0.875  (umbral 0.5) p1 0.925 c1 0.95  [recto(atajo) reportado, no es puerta: 0.25]
[17:43:37]   [PASA] R-3 cuesta menos: pasos_cens(rodeo) GF/CIEGO <=            0.308  (umbral 0.7) GF 18.475 CIEGO 60.0
[17:43:37]   [PASA] R-4 no regresion: comida GF/CIEGO >=                       5.614  (umbral 0.9) GF 1914.5 CIEGO 341.0 CAMINO 653.5
[17:43:37]   [PASA] R-5 muertes GF/CIEGO <=                                    0.084  (umbral 1.25) GF 10.0 CIEGO 118.5 CAMINO 34.5
[17:43:37]   [PASA] C1 INVERTIDO decisivo: limpio(rodeo) <=                    0.0  (umbral 0.2) pisa 1.0
[17:43:37]   [PASA] PLACEBO validez: |GF - PLACEBO| <= (si no, NO se lee)      0.025  (umbral 0.15) 
[17:43:37]   [CAE ] V1 validez: comida y las DOS murallas enteras en M (15/20) 0.75  (umbral 1.0) 
[17:43:37]   [PASA] E-1 (secundaria) escala 15x13: limpio(rodeo) GF_E >=       1.0  (umbral 0.6) CIEGO_E 0.0
