# fecha: 2026-09-15 11:52:29
# rama: 3T_temporal
# tag: PH3
# sha_mundo_temporal: 1f447657faf00ef8
# sha_corre_3T: 95ed871994fd44c5
# python: 3.14.2
# numpy: 2.4.3
# arms: ['C1', 'C2', 'C3', 'C3C']
# seeds: [1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20]
# kwargs: {'T': 100000, 'nkmax': 90, 'wclip': 30.0}
# constantes: {'L': 40, 'NK': 30, 'NKMAX': 90, 'K': 3, 'R_VAL': {'comida': 1.0, 'veneno': -3.0, 'neutro': 0.0}, 'E_VAL': {'comida': 0.8, 'veneno': -0.4, 'neutro': 0.1}}
# segundos: 61.2
arm,seed,W_AA,W_AB,W_BA,W_BB,sep,Wp_AA,Wn_AA,Wp_AB,Wn_AB,solap_A,solap_B,solap_A_s0,solap_A_s1,solap_A_s2,solap_A_s3,solap_A_s4,rho_s0,rho_s1,rho_s2,rho_s3,rho_s4,rho_cod_s0,rho_cod_s1,rho_cod_s2,rho_cod_s3,rho_cod_s4,splits,celdas,t_pool,fracTemp_med,acc_q1,acc_q2,acc_q3,acc_q4,base_q1,base_q2,base_q3,base_q4,lift_q1,lift_q2,lift_q3,lift_q4,early_acc,early_base,early_lift,early_nbit,nAB_q1,nAB_q2,nAB_q3,nAB_q4,nAA_q1,nAA_q2,nAA_q3,nAA_q4,nB_q1,nB_q2,nB_q3,nB_q4,deaths,Rtot,E_fin
C2,12,-2.987,1.0,-0.0,-0.0,3.987,0.285,3.273,1.182,0.182,0,3,0,0,0,0,0,0.4899,0.4899,0.4899,0.4899,0.4899,0.5299,0.5299,0.5299,0.5299,0.5299,0,30,,,0.8138,0.9028,0.8929,0.9669,0.56,0.5676,0.5625,0.5839,0.2538,0.3352,0.3304,0.3829,0.7917,0.5298,0.2619,151,153,130,100,175,35,14,12,6,237,189,144,254,116,357.0,0.46
C2,13,-2.98,1.0,-0.006,-0.002,3.98,2.514,5.494,1.0,0.0,0,1,0,0,0,0,0,0.4905,0.4905,0.4905,0.4905,0.4905,0.5245,0.5245,0.5245,0.5245,0.5245,0,30,,,0.7049,0.8562,0.8768,0.8435,0.5297,0.5628,0.5767,0.5455,0.1752,0.2934,0.3001,0.298,0.6462,0.5556,0.0906,144,129,137,121,97,54,23,17,18,204,206,188,138,130,148.0,0.744
C2,14,-2.893,0.994,-0.02,0.011,3.887,4.312,7.204,4.362,3.369,0,1,0,0,0,0,0,0.5089,0.5089,0.5089,0.5089,0.5089,0.5486,0.5486,0.5486,0.5486,0.5486,0,30,,,0.8294,0.8049,0.876,0.9405,0.568,0.5531,0.5643,0.5907,0.2613,0.2517,0.3117,0.3498,0.8367,0.5746,0.2622,228,243,132,106,158,50,32,15,10,383,203,159,240,100,318.0,0.262
C2,15,-2.971,1.0,-0.008,0.0,3.971,2.367,5.338,1.0,0.0,0,0,0,0,0,0,0,0.5048,0.5048,0.5048,0.5048,0.5048,0.5129,0.5129,0.5129,0.5129,0.5129,0,30,,,0.7353,0.8712,0.9122,0.9182,0.5333,0.5543,0.5723,0.5764,0.202,0.3168,0.3399,0.3418,0.6835,0.5298,0.1538,168,150,142,135,146,54,21,13,13,231,205,198,214,109,270.0,0.952
C2,16,-2.998,1.0,-0.0,0.0,3.998,0.351,3.349,1.307,0.307,0,1,0,0,0,0,0,0.4965,0.4965,0.4965,0.4965,0.4965,0.4995,0.4995,0.4995,0.4995,0.4995,0,30,,,0.7784,0.8593,0.8636,0.8548,0.5524,0.5781,0.551,0.5618,0.226,0.2811,0.3126,0.293,0.7321,0.5692,0.1629,130,137,116,114,106,39,19,18,18,215,185,162,159,124,191.0,0.97
C2,17,-2.993,1.0,-0.0,0.0,3.993,0.49,3.482,1.308,0.308,0,1,0,0,0,0,0,0.4965,0.4965,0.4965,0.4965,0.4965,0.481,0.481,0.481,0.481,0.481,0,30,,,0.831,0.8767,0.8788,0.938,0.5611,0.5562,0.5823,0.5597,0.2699,0.3205,0.2965,0.3783,0.7101,0.5245,0.1857,143,177,128,116,121,36,18,16,8,270,183,184,164,117,308.0,1.222
C2,18,-2.991,1.0,-0.0,0.0,3.991,0.374,3.364,1.125,0.125,0,0,0,0,0,0,0,0.4928,0.4928,0.4928,0.4928,0.4928,0.505,0.505,0.505,0.505,0.505,0,30,,,0.8261,0.8722,0.9389,0.9219,0.5681,0.5639,0.5747,0.5616,0.258,0.3082,0.3643,0.3602,0.7727,0.5695,0.2032,151,171,116,123,118,36,17,8,10,270,172,177,164,129,315.0,1.202
C2,19,-2.989,1.0,-0.0,0.0,3.989,0.489,3.478,1.308,0.308,0,1,0,0,0,0,0,0.5182,0.5182,0.5182,0.5182,0.5182,0.5363,0.5363,0.5363,0.5363,0.5363,0,30,,,0.7289,0.9412,0.9302,0.9323,0.5352,0.575,0.5721,0.5759,0.1937,0.3662,0.3581,0.3564,0.625,0.5204,0.1046,98,121,144,160,124,45,9,12,9,189,207,230,183,102,324.0,1.498
C2,20,-2.994,1.0,-0.0,-0.0,3.994,0.374,3.368,1.0,0.0,0,3,0,0,0,0,0,0.4952,0.4952,0.4952,0.4952,0.4952,0.4803,0.4803,0.4803,0.4803,0.4803,0,30,,,0.8588,0.8912,0.8889,0.9365,0.5679,0.5545,0.5768,0.5758,0.2909,0.3366,0.3121,0.3608,0.7123,0.5528,0.1595,161,225,131,120,118,37,16,15,8,342,183,184,171,107,366.0,1.378
C3,1,-2.975,0.998,-0.007,0.0,3.973,14.685,17.66,15.307,14.309,1,0,3,1,1,1,1,0.0,0.2026,0.2026,0.2026,0.2026,0.0,0.3522,0.3522,0.3522,0.3522,18,48,,0.54,0.6867,0.8514,0.8359,0.8095,0.5388,0.5389,0.5242,0.5697,0.1479,0.3124,0.3118,0.2399,0.5,0.535,-0.035,200,217,126,107,85,99,22,21,20,367,173,141,139,131,49.0,1.478
C3,2,-2.851,0.995,-0.009,0.037,3.846,9.525,12.376,11.031,10.036,1,2,3,1,1,1,1,0.0,0.1363,0.1363,0.1363,0.1363,0.0,0.297,0.297,0.297,0.297,12,42,,0.565,0.6784,0.8357,0.907,0.9034,0.5305,0.574,0.5547,0.576,0.1479,0.2617,0.3523,0.3274,0.3521,0.5035,-0.1514,141,173,117,156,131,82,23,16,14,286,191,212,197,109,172.0,1.482
C3,3,-2.917,0.979,-0.009,0.022,3.896,13.449,16.366,15.12,14.141,2,0,3,2,2,2,2,0.0,0.1707,0.1707,0.1707,0.1707,0.0,0.323,0.323,0.323,0.323,15,45,,0.587,0.7063,0.773,0.959,0.8357,0.5397,0.5546,0.5921,0.551,0.1666,0.2184,0.3669,0.2848,0.6033,0.5349,0.0684,258,226,126,187,117,94,37,8,23,373,203,283,174,109,170.0,1.49
C3,4,-2.976,1.0,-0.001,0.0,3.976,12.322,15.298,12.289,11.289,0,0,3,0,0,0,0,0.0,0.1992,0.1992,0.1992,0.1992,0.0,0.3306,0.3306,0.3306,0.3306,20,50,,0.627,0.6364,0.9172,0.9209,0.9493,0.5468,0.5445,0.5723,0.5697,0.0896,0.3727,0.3486,0.3796,0.5278,0.5263,0.0015,228,161,155,128,131,92,14,11,7,303,202,186,185,114,203.0,0.698
C3,5,-2.924,0.995,-0.002,0.004,3.919,13.84,16.764,14.779,13.784,2,1,3,2,2,2,2,0.0,0.1601,0.1601,0.1601,0.1601,0.0,0.332,0.332,0.332,0.332,13,43,,0.569,0.727,0.7063,0.8643,0.9211,0.5478,0.5296,0.5666,0.5508,0.1792,0.1767,0.2977,0.3702,0.5833,0.5202,0.0631,198,245,101,121,175,92,42,19,15,406,161,183,233,114,138.0,1.03
C3,6,-2.971,1.0,-0.0,0.0,3.971,12.81,15.781,13.237,12.237,0,0,3,0,0,0,0,0.0,0.1888,0.1888,0.1888,0.1888,0.0,0.3297,0.3297,0.3297,0.3297,20,50,,0.521,0.7078,0.9461,0.94,0.9321,0.5512,0.5912,0.5648,0.5684,0.1566,0.3549,0.3752,0.3637,0.5556,0.5226,0.0329,243,218,193,141,151,90,11,9,11,376,295,197,211,86,340.0,0.552
C3,7,-2.961,0.991,-0.005,0.013,3.952,12.391,15.352,14.998,14.007,1,0,3,1,1,1,1,0.0,0.1686,0.1686,0.1686,0.1686,0.0,0.3025,0.3025,0.3025,0.3025,16,46,,0.598,0.7367,0.854,0.8871,0.8678,0.5411,0.5552,0.5618,0.5485,0.1956,0.2988,0.3253,0.3193,0.473,0.5068,-0.0338,148,235,117,110,105,84,20,14,16,374,171,159,147,116,165.0,0.332
C3,8,-2.987,0.999,-0.0,0.001,3.986,9.011,11.998,11.568,10.569,1,0,3,1,1,1,1,0.0,0.1702,0.1702,0.1702,0.1702,0.0,0.3218,0.3218,0.3218,0.3218,15,45,,0.586,0.655,0.8681,0.944,0.9281,0.5337,0.5514,0.537,0.5615,0.1213,0.3167,0.407,0.3665,0.5109,0.526,-0.0152,192,150,125,118,129,79,19,7,10,260,177,145,178,112,177.0,0.546
C3,9,-2.978,1.0,-0.001,0.001,3.978,11.231,14.21,13.659,12.66,0,1,3,0,0,0,0,0.0,0.1852,0.1852,0.1852,0.1852,0.0,0.3234,0.3234,0.3234,0.3234,18,48,,0.541,0.6868,0.8681,0.9202,0.9467,0.5432,0.5687,0.5773,0.5912,0.1436,0.2994,0.3429,0.3555,0.4479,0.5127,-0.0648,197,193,158,150,160,88,24,13,9,332,240,225,242,98,259.0,0.338
