# fecha: 2026-09-15 11:47:13
# rama: 3T_temporal
# tag: 3T
# sha_mundo_temporal: 1f447657faf00ef8
# sha_corre_3T: 95ed871994fd44c5
# python: 3.14.2
# numpy: 2.4.3
# arms: ['C1', 'C1p', 'C2', 'C2b', 'C3', 'C3C']
# seeds: [1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20]
# kwargs: {'T': 100000}
# constantes: {'L': 40, 'NK': 30, 'NKMAX': 90, 'K': 3, 'R_VAL': {'comida': 1.0, 'veneno': -3.0, 'neutro': 0.0}, 'E_VAL': {'comida': 0.8, 'veneno': -0.4, 'neutro': 0.1}}
# segundos: 128.7
arm,seed,W_AA,W_AB,W_BA,W_BB,sep,Wp_AA,Wn_AA,Wp_AB,Wn_AB,solap_A,solap_B,solap_A_s0,solap_A_s1,solap_A_s2,solap_A_s3,solap_A_s4,rho_s0,rho_s1,rho_s2,rho_s3,rho_s4,rho_cod_s0,rho_cod_s1,rho_cod_s2,rho_cod_s3,rho_cod_s4,splits,celdas,t_pool,fracTemp_med,acc_q1,acc_q2,acc_q3,acc_q4,base_q1,base_q2,base_q3,base_q4,lift_q1,lift_q2,lift_q3,lift_q4,early_acc,early_base,early_lift,early_nbit,nAB_q1,nAB_q2,nAB_q3,nAB_q4,nAA_q1,nAA_q2,nAA_q3,nAA_q4,nB_q1,nB_q2,nB_q3,nB_q4,deaths,Rtot,E_fin
C1p,14,0.0,0.0,-0.0,-0.0,0.0,9.0,9.0,9.0,9.0,3,3,3,3,3,3,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60,90,10995,0.0,0.4922,0.4881,0.5111,0.4992,0.4952,0.4895,0.5046,0.4986,-0.003,-0.0015,0.0065,0.0006,0.5,0.5411,-0.0411,207,568,655,668,638,586,687,639,640,1130,1289,1329,1273,243,-5127.0,1.496
C1p,15,0.0,0.0,0.0,0.0,0.0,9.0,9.0,9.0,9.0,3,3,3,3,3,3,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60,90,9530,0.0,0.4965,0.5072,0.5068,0.5023,0.5063,0.5147,0.5094,0.4936,-0.0099,-0.0075,-0.0026,0.0086,0.5882,0.5556,0.0327,306,562,672,673,660,570,653,655,654,1159,1405,1381,1279,218,-5029.0,1.492
C1p,16,0.0,0.0,-0.0,-0.0,0.0,9.0,9.0,9.0,9.0,3,3,3,3,3,3,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60,90,8436,0.0,0.5,0.5161,0.4896,0.5015,0.4876,0.5095,0.4906,0.4981,0.0124,0.0066,-0.001,0.0034,0.5562,0.5028,0.0534,356,622,707,635,670,622,663,662,666,1184,1423,1247,1328,232,-5205.0,1.494
C1p,17,0.0,0.0,-0.0,-0.0,0.0,9.0,9.0,9.0,9.0,3,3,3,3,3,3,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60,90,8675,0.0,0.5183,0.495,0.5019,0.487,0.5072,0.4907,0.506,0.4893,0.011,0.0042,-0.0041,-0.0023,0.5879,0.5838,0.0041,394,582,638,662,639,541,651,657,673,1154,1242,1351,1257,227,-5045.0,1.482
C1p,18,0.0,0.0,-0.0,-0.0,0.0,9.0,9.0,9.0,9.0,3,3,3,3,3,3,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60,90,10718,0.0,0.5174,0.4793,0.528,0.5129,0.5221,0.4765,0.5103,0.5028,-0.0047,0.0028,0.0177,0.0101,0.5565,0.556,0.0005,259,566,683,679,696,528,742,607,661,1195,1295,1342,1370,210,-4990.0,1.498
C1p,19,0.0,0.0,0.0,0.0,0.0,9.0,9.0,9.0,9.0,3,3,3,3,3,3,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60,90,9120,0.0,0.4851,0.509,0.4981,0.519,0.4891,0.5041,0.5015,0.5041,-0.0039,0.0049,-0.0034,0.0149,0.5671,0.533,0.0341,349,637,675,661,656,676,651,666,608,1255,1348,1335,1285,240,-5174.0,1.082
C1p,20,0.0,0.0,0.0,0.0,0.0,9.0,9.0,9.0,9.0,3,3,3,3,3,3,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60,90,11147,0.0,0.4937,0.5086,0.4967,0.5049,0.4918,0.4886,0.4935,0.5068,0.0019,0.02,0.0032,-0.0019,0.5368,0.5682,-0.0313,220,552,650,679,623,566,628,688,611,1080,1221,1334,1268,244,-4975.0,1.488
C2,1,-2.992,1.0,-0.0,0.0,3.992,0.0,2.992,1.143,0.143,0,1,0,0,0,0,0,0.5003,0.5003,0.5003,0.5003,0.5003,0.4772,0.4772,0.4772,0.4772,0.4772,0,30,,,0.8263,0.968,0.9379,0.9392,0.5451,0.5996,0.5718,0.5556,0.2812,0.3684,0.3661,0.3836,0.75,0.5203,0.2297,148,176,212,151,139,37,7,10,9,253,328,215,185,102,489.0,1.146
C2,2,-2.996,1.0,-0.0,0.0,3.996,0.0,2.996,1.203,0.203,0,1,0,0,0,0,0,0.4786,0.4786,0.4786,0.4786,0.4786,0.4816,0.4816,0.4816,0.4816,0.4816,0,30,,,0.8365,0.9324,0.9432,0.9357,0.54,0.5816,0.5679,0.5757,0.2965,0.3508,0.3753,0.36,0.8158,0.5312,0.2845,160,174,207,166,160,34,15,10,11,242,311,229,232,97,497.0,0.472
C2,3,-2.997,1.0,-0.0,0.0,3.997,0.0,2.997,1.143,0.143,0,1,0,0,0,0,0,0.4695,0.4695,0.4695,0.4695,0.4695,0.5019,0.5019,0.5019,0.5019,0.5019,0,30,,,0.8186,0.8081,0.9497,0.9187,0.5717,0.5263,0.5608,0.5714,0.2469,0.2818,0.3889,0.3473,0.7121,0.5752,0.137,153,167,80,151,113,37,19,8,10,270,110,203,164,106,289.0,0.34
