[16:09:51] [34/100] SIN_TRAGAR s22007: persiste 0 (vivos 0) · prev_post 0.0 · D None · err60 None (243.6 s; 1 s)
[16:09:51] [35/100] VIDA_S s22008: persiste 0 (vivos 0) · prev_post 0.296554 · D -0.01151 · err60 None (235.2 s; 1 s)
[16:09:51] [36/100] AZAR_S s22007: persiste 0 (vivos 0) · prev_post 0.775546 · D -0.033882 · err60 None (229.8 s; 1 s)
[16:09:51] [37/100] INERTE s22008: persiste 0 (vivos 0) · prev_post 0.822823 · D -0.009518 · err60 None (238.8 s; 1 s)
[16:09:51] [38/100] SIN_TRAGAR s22008: persiste 0 (vivos 0) · prev_post 0.0 · D None · err60 None (244.7 s; 1 s)
[16:09:51] [39/100] BARAJADO s22008: persiste 0 (vivos 0) · prev_post 0.260598 · D -0.019827 · err60 None (233.0 s; 1 s)
[16:09:51] [40/100] AZAR_S s22008: persiste 1 (vivos 4) · prev_post 0.55036 · D -0.016419 · err60 None (268.8 s; 1 s)
[16:09:51] [41/100] INERTE s22009: persiste 0 (vivos 0) · prev_post 0.712121 · D 0.02364 · err60 None (226.7 s; 1 s)
[16:09:51] [42/100] BARAJADO s22009: persiste 0 (vivos 0) · prev_post 0.325149 · D 0.007764 · err60 None (212.3 s; 1 s)
[16:09:51] [43/100] VIDA_S s22009: persiste 0 (vivos 0) · prev_post 0.256134 · D 0.026365 · err60 None (233.4 s; 1 s)
[16:09:51] [44/100] AZAR_S s22009: persiste 0 (vivos 0) · prev_post 0.240293 · D -0.051383 · err60 None (226.2 s; 1 s)
[16:09:51] [45/100] VIDA_S s22010: persiste 0 (vivos 0) · prev_post 0.192761 · D -0.009717 · err60 None (239.8 s; 1 s)
[16:09:51] [46/100] SIN_TRAGAR s22009: persiste 1 (vivos 3) · prev_post 0.0 · D None · err60 None (255.8 s; 1 s)
[16:09:51] [47/100] BARAJADO s22010: persiste 0 (vivos 0) · prev_post 0.770632 · D 0.002483 · err60 None (241.8 s; 1 s)
[16:09:51] [48/100] SIN_TRAGAR s22010: persiste 0 (vivos 0) · prev_post 0.0 · D None · err60 None (271.0 s; 1 s)
[16:09:51] [49/100] INERTE s22010: persiste 0 (vivos 0) · prev_post 0.670597 · D -0.01987 · err60 None (261.0 s; 1 s)
[16:09:51] [50/100] AZAR_S s22010: persiste 0 (vivos 0) · prev_post 0.247511 · D -0.064958 · err60 None (247.2 s; 1 s)
[16:09:51] [51/100] VIDA_S s22011: persiste 0 (vivos 0) · prev_post 0.402778 · D 0.019565 · err60 None (247.3 s; 1 s)
[16:09:51] [52/100] INERTE s22011: persiste 0 (vivos 0) · prev_post 0.793646 · D 0.010692 · err60 None (267.0 s; 1 s)
[16:09:51] [53/100] BARAJADO s22011: persiste 0 (vivos 0) · prev_post 0.736622 · D -0.001809 · err60 None (238.3 s; 1 s)
[16:09:51] [54/100] AZAR_S s22011: persiste 0 (vivos 0) · prev_post 0.251984 · D -0.008376 · err60 None (221.9 s; 1 s)
[16:09:51] [55/100] SIN_TRAGAR s22011: persiste 1 (vivos 3) · prev_post 0.0 · D None · err60 None (269.9 s; 1 s)
[16:09:51] [56/100] VIDA_S s22012: persiste 0 (vivos 0) · prev_post 0.532967 · D 0.645128 · err60 None (224.3 s; 1 s)
[16:09:51] [57/100] INERTE s22012: persiste 0 (vivos 0) · prev_post 0.668597 · D 0.009742 · err60 None (211.0 s; 1 s)
[16:09:51] [58/100] BARAJADO s22012: persiste 0 (vivos 0) · prev_post 0.314268 · D 0.010387 · err60 None (206.0 s; 1 s)
[16:09:51] [59/100] SIN_TRAGAR s22012: persiste 0 (vivos 0) · prev_post 0.0 · D None · err60 None (208.3 s; 1 s)
[16:09:51] [60/100] AZAR_S s22012: persiste 0 (vivos 0) · prev_post 0.627551 · D -0.0051 · err60 None (218.5 s; 1 s)
[16:12:41] [61/100] BARAJADO s22013: persiste 0 (vivos 0) · prev_post 0.112135 · D 0.010709 · err60 None (170.2 s; 171 s)
[16:12:57] [62/100] INERTE s22013: persiste 0 (vivos 0) · prev_post 0.946538 · D -0.060793 · err60 None (186.3 s; 187 s)
[16:12:58] [63/100] VIDA_S s22013: persiste 0 (vivos 0) · prev_post 0.934535 · D 0.812283 · err60 None (187.0 s; 188 s)
[16:15:41] [64/100] VIDA_S s22014: persiste 0 (vivos 0) · prev_post 0.315238 · D -0.027464 · err60 None (162.4 s; 350 s)
[16:15:47] [65/100] AZAR_S s22013: persiste 0 (vivos 0) · prev_post 0.468638 · D -0.007129 · err60 None (169.3 s; 356 s)
[16:15:59] [66/100] SIN_TRAGAR s22013: persiste 1 (vivos 4) · prev_post 0.0 · D None · err60 None (197.4 s; 368 s)
[16:18:28] [67/100] INERTE s22014: persiste 0 (vivos 0) · prev_post 0.893512 · D -0.056782 · err60 None (167.5 s; 518 s)
[16:18:35] [68/100] BARAJADO s22014: persiste 0 (vivos 0) · prev_post 0.093781 · D -0.004209 · err60 None (168.7 s; 525 s)
[16:19:06] [69/100] SIN_TRAGAR s22014: persiste 1 (vivos 2) · prev_post 0.0 · D None · err60 None (186.9 s; 555 s)
[16:20:56] [70/100] AZAR_S s22014: persiste 0 (vivos 0) · prev_post 0.098387 · D -0.028879 · err60 None (148.0 s; 666 s)
[16:21:09] [71/100] VIDA_S s22015: persiste 0 (vivos 0) · prev_post 0.267767 · D 0.087309 · err60 None (153.3 s; 679 s)
[16:21:34] [72/100] INERTE s22015: persiste 0 (vivos 0) · prev_post 0.432727 · D 0.007292 · err60 None (148.4 s; 704 s)
