[14:12:31] F1 FRIO frio_serie_s35001-35020 · T 1000000 · brazos {'RES0_FRIO': ('MUT0', 'FAMB_RES0_ECO', 1), 'RES0_10k': ('MUT0', 'FAMB_RES0_ECO', 10000), 'RES0_60k': ('MUT0', 'FAMB_RES0_ECO', 60000), 'BAR0_FRIO': ('MUT0', 'BAR0_ECO', 1), 'FAB_FRIO': ('MUT0', 'FABRICA_ECO', 1)} · pool 6 · motor GEMELO motor_frio_rapido · shas {'corre_frio.py': '3ba8b0f5cf1fbbfa', 'construye_frio.py': '5dec635e6ffe55d4', 'motor_frio_rapido.py': 'ff9d890a5cce9dec', 'carros/BAR0_ECO.py': 'a4b899611bd71197', 'PREREGISTRO_frio.md': '43129620e9e22479', 'juaco_eco/corre_eco_v12.py': '1340d268e1fd93d8', 'juaco_eco/corre_eco.py': '47d9cee4d6462116', 'juaco_eco/motor_eco.py': 'bca3033878b59622', 'juaco_eco/motor_eco_rapido_fam.py': 'd1f16769a53bb51c', 'juaco_eco/carros/FAMB_RES0_ECO.py': '94ea78589bc2ce24', 'juaco_eco/carros/FABRICA_ECO.py': 'f1163009cb5193a2'}
[14:19:43] [61/100] BAR0_FRIO s35006: persiste 0 (vivos 0) · t_ext 75588 · refundados 0 · r0_nac 0.942 · max_vivos 90 · aborto None (1.0 s; 432 s)
[14:19:43] [62/100] BAR0_FRIO s35007: persiste 0 (vivos 0) · t_ext 6132 · refundados 0 · r0_nac None · max_vivos 90 · aborto None (0.2 s; 432 s)
[14:19:43] [63/100] BAR0_FRIO s35008: persiste 0 (vivos 0) · t_ext 4845 · refundados 0 · r0_nac None · max_vivos 90 · aborto None (0.1 s; 432 s)
[14:19:45] [64/100] BAR0_FRIO s35009: persiste 0 (vivos 0) · t_ext 131032 · refundados 0 · r0_nac 0.9625 · max_vivos 90 · aborto None (1.6 s; 434 s)
[14:19:45] [65/100] BAR0_FRIO s35010: persiste 0 (vivos 0) · t_ext 62127 · refundados 0 · r0_nac 0.8831 · max_vivos 90 · aborto None (0.5 s; 434 s)
[14:19:45] [66/100] BAR0_FRIO s35005: persiste 0 (vivos 0) · t_ext 309859 · refundados 0 · r0_nac 0.9793 · max_vivos 90 · aborto None (4.0 s; 434 s)
[14:19:46] [67/100] BAR0_FRIO s35003: persiste 0 (vivos 0) · t_ext 414990 · refundados 0 · r0_nac 0.9986 · max_vivos 90 · aborto None (4.8 s; 435 s)
[14:19:47] [68/100] BAR0_FRIO s35012: persiste 0 (vivos 0) · t_ext 129422 · refundados 0 · r0_nac 0.9835 · max_vivos 90 · aborto None (1.3 s; 436 s)
[14:19:47] [69/100] BAR0_FRIO s35011: persiste 0 (vivos 0) · t_ext 159325 · refundados 0 · r0_nac 0.9922 · max_vivos 90 · aborto None (1.5 s; 436 s)
[14:19:48] [70/100] BAR0_FRIO s35013: persiste 0 (vivos 0) · t_ext 167607 · refundados 0 · r0_nac 0.9948 · max_vivos 90 · aborto None (2.4 s; 437 s)
[14:19:49] [71/100] RES0_FRIO s35019: persiste 1 (vivos 27) · t_ext None · refundados 0 · r0_nac 1.0001 · max_vivos 90 · aborto None (34.8 s; 438 s)
[14:19:49] [72/100] RES0_FRIO s35020: persiste 1 (vivos 30) · t_ext None · refundados 0 · r0_nac 1.0002 · max_vivos 90 · aborto None (34.2 s; 438 s)
[14:19:49] [73/100] BAR0_FRIO s35018: persiste 0 (vivos 0) · t_ext 5408 · refundados 0 · r0_nac None · max_vivos 90 · aborto None (0.3 s; 438 s)
[14:19:49] [74/100] BAR0_FRIO s35019: persiste 0 (vivos 0) · t_ext 3792 · refundados 0 · r0_nac None · max_vivos 90 · aborto None (0.1 s; 438 s)
