# fecha: 2026-09-15T11:47:23
# python: 3.14.2
# numpy: 2.4.3
# sha_v7i: 935c6e42c29d8e88
# sha_este: ccab60b8938fbe8c
# base_previa: parte1_umbral_20260915_113736.json
# NS: 20
# T: 100000
# theta: 0.6
# condiciones: {'REJ_AB1': "{'solap_AB': 1, 'forzar_KW': False}", 'REJ_AB2': "{'solap_AB': 2, 'forzar_KW': False}", 'REJ_AB3': "{'solap_AB': 3, 'forzar_KW': False}", 'D_comida_solB0_t0': "{'nuevo': 'D', 'nuevo_val': 'comida', 'solap_B': 0, 'nuevo_en': 0}", 'D_comida_solB1_t0': "{'nuevo': 'D', 'nuevo_val': 'comida', 'solap_B': 1, 'nuevo_en': 0}", 'D_comida_solB2_t0': "{'nuevo': 'D', 'nuevo_val': 'comida', 'solap_B': 2, 'nuevo_en': 0}"}
# concordancia: {'tp': 139, 'fp': 0, 'fn': 0, 'tn': 181, 'n': 320}
cond,seed,plast,solap_medido,splits,celdas,primer_split,estimulos_split,W_A,W_B,W_C,W_D,err_max,deaths
REJ_AB2,14,True,2,5,35,683,AB,1.0,-3.0,-0.01,-3.79,0.6134,145
REJ_AB2,15,True,2,5,35,661,AB,1.0,-2.99,1.19,-2.16,0.6352,156
REJ_AB2,16,True,2,5,35,677,AB,1.0,-2.99,-2.45,-3.35,0.6131,152
REJ_AB2,17,True,2,5,35,793,B,1.0,-3.0,-3.0,-3.0,0.6143,159
REJ_AB2,18,True,2,3,33,499,AB,0.99,-2.99,-0.4,-2.46,0.612,147
REJ_AB2,19,True,2,3,33,393,AB,0.99,-2.96,0.0,-2.18,0.6128,143
REJ_AB2,20,True,2,3,33,626,B,1.0,-2.99,-0.45,-2.99,0.6188,136
REJ_AB2,1,False,2,0,30,,,0.99,-2.97,0.99,-0.4,0.8042,168
REJ_AB2,2,False,2,0,30,,,1.0,-2.97,0.0,-0.39,0.847,138
REJ_AB2,3,False,2,0,30,,,1.0,-2.95,-0.39,-2.56,0.8331,139
REJ_AB2,4,False,2,0,30,,,1.0,-2.97,0.0,-0.39,0.8083,155
REJ_AB2,5,False,2,0,30,,,1.0,-2.98,-0.4,-2.58,0.8137,151
REJ_AB2,6,False,2,0,30,,,1.0,-2.97,-0.4,-2.58,0.8272,142
REJ_AB2,7,False,2,0,30,,,1.0,-2.96,-2.57,-2.57,0.8572,163
REJ_AB2,8,False,2,0,30,,,0.99,-2.97,-0.39,0.0,0.8246,146
REJ_AB2,9,False,2,0,30,,,1.0,-2.98,-2.58,1.39,0.8413,160
REJ_AB2,10,False,2,0,30,,,1.0,-2.98,0.0,-2.19,0.8473,153
REJ_AB2,11,False,2,0,30,,,0.99,-2.97,-0.39,-2.18,0.8561,148
REJ_AB2,12,False,2,0,30,,,1.0,-2.97,1.39,-0.79,0.8433,147
REJ_AB2,13,False,2,0,30,,,0.99,-2.96,-2.18,-2.18,0.8207,142
REJ_AB2,14,False,2,0,30,,,1.0,-2.96,0.0,-2.18,0.863,148
REJ_AB2,15,False,2,0,30,,,1.0,-2.97,1.79,0.0,0.8349,151
REJ_AB2,16,False,2,0,30,,,1.0,-2.97,-0.39,-2.57,0.8609,153
REJ_AB2,17,False,2,0,30,,,1.0,-2.98,-2.19,-0.4,0.8444,162
REJ_AB2,18,False,2,0,30,,,0.99,-2.99,0.0,0.0,0.8546,147
REJ_AB2,19,False,2,0,30,,,0.99,-2.96,0.0,-2.18,0.8341,143
REJ_AB2,20,False,2,0,30,,,1.0,-2.98,0.0,-0.79,0.8257,146
REJ_AB3,1,True,3,8,38,562,AB,1.0,-3.0,-1.08,-3.0,0.6146,146
REJ_AB3,2,True,3,5,35,245,B,1.0,-3.0,-0.83,-1.66,0.6112,148
REJ_AB3,3,True,3,8,38,836,AB,1.0,-3.0,-2.04,-3.0,0.6042,145
REJ_AB3,4,True,3,6,36,178,AB,1.0,-2.99,0.73,-1.26,0.6137,161
REJ_AB3,5,True,3,5,35,595,AB,1.0,-3.0,-0.47,-2.66,0.6112,160
REJ_AB3,6,True,3,7,37,647,AB,1.0,-2.99,-1.37,-1.75,0.6262,138
REJ_AB3,7,True,3,5,35,532,AB,1.0,-3.0,0.03,-3.34,0.6177,135
REJ_AB3,8,True,3,5,35,269,B,1.0,-2.99,-1.21,-2.99,0.6163,128
REJ_AB3,9,True,3,5,35,258,A,1.0,-3.0,0.03,-2.66,0.6162,159
REJ_AB3,10,True,3,6,36,356,A,1.0,-3.0,-1.0,-2.74,0.6084,151
REJ_AB3,11,True,3,8,38,238,AB,1.0,-3.0,-3.0,-3.0,0.623,157
REJ_AB3,12,True,3,8,38,191,AB,1.0,-3.0,-0.4,-1.36,0.611,130
REJ_AB3,13,True,3,7,37,779,AB,1.0,-3.0,0.54,-3.0,0.6284,144
REJ_AB3,14,True,3,6,36,513,B,1.0,-3.0,-0.26,-3.0,0.6436,163
REJ_AB3,15,True,3,5,35,471,AB,1.0,-3.0,-1.28,-3.0,0.606,138
REJ_AB3,16,True,3,7,37,540,AB,1.0,-3.0,-1.98,-2.18,0.6327,152
REJ_AB3,17,True,3,7,37,185,AB,1.0,-3.0,0.22,-0.13,0.6335,152
REJ_AB3,18,True,3,5,35,217,B,1.0,-3.0,-1.27,-3.0,0.6226,128
REJ_AB3,19,True,3,6,36,189,B,1.0,-3.0,-1.67,-3.0,0.6365,142
REJ_AB3,20,True,3,6,36,320,A,1.0,-3.0,-0.02,-0.73,0.6299,156
REJ_AB3,1,False,3,0,30,,,0.0,0.0,0.0,0.0,2.3588,483
REJ_AB3,2,False,3,0,30,,,0.0,0.0,0.0,0.0,2.2926,449
REJ_AB3,3,False,3,0,30,,,0.0,0.0,0.0,0.0,2.2991,453
REJ_AB3,4,False,3,0,30,,,0.0,0.0,0.0,0.0,2.3053,472
REJ_AB3,5,False,3,0,30,,,0.0,0.0,0.0,0.0,2.2901,420
REJ_AB3,6,False,3,0,30,,,0.0,0.0,0.0,0.0,2.3475,474
REJ_AB3,7,False,3,0,30,,,0.0,0.0,0.0,0.0,2.3123,459
REJ_AB3,8,False,3,0,30,,,0.0,0.0,0.0,0.0,2.3274,453
REJ_AB3,9,False,3,0,30,,,0.0,0.0,0.0,0.0,2.3416,432
