seed,patron,n_activos,nA,nB,W_obs,W_pred,residuo,W_pred_nominal,residuo_nominal,hamming_A,hamming_B,compartidos_A,compartidos_B,W_A_real,W_B_real,es_patron_nulo,code_X
2,111110,5,0,2,-1.9993993939,-1.9993993939,-2.22044604925e-16,-2,0.000600606095189,2,2,3,3,1,-2.99909909086,0,9 16 18
2,111111,6,0,2,-1.9993993939,-1.9993993939,-2.22044604925e-16,-2,0.000600606095189,3,3,3,3,1,-2.99909909086,0,3 16 18
3,000000,0,1,0,0.333333333333,0.333333333333,0,0.333333333333,-4.82947015712e-15,3,3,0,0,1,-2.99900998995,1,27 28 29
3,000001,1,0,0,0,0,0,0,0,4,4,0,0,1,-2.99900998995,0,20 22 29
3,000010,1,0,1,-0.999669996651,-0.999669996651,0,-1,0.000330003349005,4,2,0,1,1,-2.99900998995,0,7 19 26
3,000011,2,0,1,-0.999669996651,-0.999669996651,0,-1,0.000330003349005,5,3,0,1,1,-2.99900998995,0,5 28 29
3,000100,1,1,0,0.333333333333,0.333333333333,0,0.333333333333,-4.82947015712e-15,2,4,1,0,1,-2.99900998995,0,3 16 17
3,000101,2,1,0,0.333333333333,0.333333333333,0,0.333333333333,-4.82947015712e-15,3,5,1,0,1,-2.99900998995,0,3 22 27
3,000110,2,1,0,0.333333333333,0.333333333333,0,0.333333333333,-4.82947015712e-15,3,3,1,1,1,-2.99900998995,0,4 7 19
3,000111,3,0,0,0,0,0,0,0,4,4,1,1,1,-2.99900998995,0,7 19 28
3,001000,1,0,2,-1.9993399933,-1.9993399933,0,-2,0.00066000669801,4,2,0,1,1,-2.99900998995,0,5 25 26
3,001001,2,0,1,-0.999669996651,-0.999669996651,0,-1,0.000330003349005,5,3,0,1,1,-2.99900998995,0,5 22 29
3,001010,2,0,2,-1.9993399933,-1.9993399933,0,-2,0.00066000669801,5,1,0,2,1,-2.99900998995,0,5 26 29
3,001011,3,0,2,-1.9993399933,-1.9993399933,0,-2,0.00066000669801,6,2,0,2,1,-2.99900998995,0,5 26 29
3,001100,2,1,0,0.333333333333,0.333333333333,0,0.333333333333,-4.82947015712e-15,3,3,1,1,1,-2.99900998995,0,8 16 22
3,001101,3,0,1,-0.999669996651,-0.999669996651,0,-1,0.000330003349005,4,4,1,1,1,-2.99900998995,0,5 8 22
3,001110,3,0,1,-0.999669996651,-0.999669996651,0,-1,0.000330003349005,4,2,1,2,1,-2.99900998995,0,7 8 26
3,001111,4,0,1,-0.999669996651,-0.999669996651,0,-1,0.000330003349005,5,3,1,2,1,-2.99900998995,0,5 22 29
3,010000,1,0,0,0,0,0,0,0,2,4,1,0,1,-2.99900998995,0,2 6 20
3,010001,2,0,0,0,0,0,0,0,3,5,1,0,1,-2.99900998995,0,2 20 29
3,010010,2,1,0,0.333333333333,0.333333333333,0,0.333333333333,-4.82947015712e-15,3,3,1,1,1,-2.99900998995,0,2 4 29
3,010011,3,0,0,0,0,0,0,0,4,4,1,1,1,-2.99900998995,0,2 20 29
3,010100,2,2,0,0.666666666667,0.666666666667,0,0.666666666667,-9.65894031424e-15,1,5,2,0,1,-2.99900998995,0,4 8 16
3,010101,3,1,0,0.333333333333,0.333333333333,0,0.333333333333,-4.82947015712e-15,2,6,2,0,1,-2.99900998995,0,2 4 20
3,010110,3,1,0,0.333333333333,0.333333333333,0,0.333333333333,-4.82947015712e-15,2,4,2,1,1,-2.99900998995,0,4 8 19
3,010111,4,1,0,0.333333333333,0.333333333333,0,0.333333333333,-4.82947015712e-15,3,5,2,1,1,-2.99900998995,0,2 4 19
3,011000,2,0,0,0,0,0,0,0,3,3,1,1,1,-2.99900998995,0,2 9 29
3,011001,3,0,0,0,0,0,0,0,4,4,1,1,1,-2.99900998995,0,2 20 29
3,011010,3,0,1,-0.999669996651,-0.999669996651,0,-1,0.000330003349005,4,2,1,2,1,-2.99900998995,0,2 26 29
3,011011,4,0,1,-0.999669996651,-0.999669996651,0,-1,0.000330003349005,5,3,1,2,1,-2.99900998995,0,2 26 29
3,011100,3,1,1,-0.666336663318,-0.666336663318,0,-0.666666666667,0.000330003349,2,4,2,1,1,-2.99900998995,0,8 12 16
3,011101,4,0,0,0,0,0,0,0,3,5,2,1,1,-2.99900998995,0,2 8 22
3,011110,4,1,0,0.333333333333,0.333333333333,0,0.333333333333,-4.82947015712e-15,3,3,2,2,1,-2.99900998995,0,2 4 8
3,011111,5,0,0,0,0,0,0,0,4,4,2,2,1,-2.99900998995,0,2 8 29
3,100000,1,1,0,0.333333333333,0.333333333333,0,0.333333333333,-4.82947015712e-15,2,2,1,1,1,-2.99900998995,0,13 22 27
3,100001,2,1,0,0.333333333333,0.333333333333,0,0.333333333333,-4.82947015712e-15,3,3,1,1,1,-2.99900998995,0,22 27 28
3,100010,2,0,0,0,0,0,0,0,3,1,1,2,1,-2.99900998995,0,13 23 28
3,100011,3,0,1,-0.999669996651,-0.999669996651,0,-1,0.000330003349005,4,2,1,2,1,-2.99900998995,0,5 28 29
