bloque,cond,plast,paso_t,lam,seed,t_techo,techo_primero,n_techo,deaths,mv_tot,mc_tot,splits,celdas,t_agot,err_max,Nstar,Mmax,W_A_fin,W_B_fin
C,C_T60,True,60000,0.05,13,,,0,1652,869,4378,49,79,,0.6583,12,12,,
C,C_T60,True,60000,0.05,14,,,0,1682,1155,4409,60,90,1099455,1.1094,12,12,,
C,C_T60,True,60000,0.05,15,482182,"('E10', 'Wn', 482182)",148,1669,1324,4742,60,90,1029639,1.0961,8,13,,
C,C_T60,True,60000,0.05,16,548746,"('E08', 'Wn', 548746)",78,1699,1134,4326,60,90,1160597,0.9425,9,10,,
C,C_T60,True,60000,0.05,17,,,0,1591,1204,4650,60,90,1067415,1.2826,14,10,,
C,C_T60,True,60000,0.05,18,,,0,1666,932,4381,60,90,1140568,1.5579,14,11,,
C,C_T60,True,60000,0.05,19,463436,"('E08', 'Wn', 463436)",94,1623,940,4406,33,63,,0.6465,6,15,,
C,C_T60,True,60000,0.05,20,,,0,1665,1459,4621,60,90,814750,1.7628,7,10,,
S,S_F,False,,0.0,1,201265,"('B', 'Wn', 4)",10303,908,5701,6347,0,30,,0.0,,,0.0,0.0
S,S_F,False,,0.0,2,202374,"('B', 'Wn', 4)",10011,917,5630,6162,0,30,,0.0,,,0.0,0.0
S,S_F,False,,0.0,3,202259,"('B', 'Wn', 4)",10665,948,5929,6478,0,30,,0.0,,,0.0,0.0
S,S_F,False,,0.0,4,201996,"('B', 'Wn', 4)",10304,922,5802,6309,0,30,,0.0,,,0.0,0.0
S,S_F,False,,0.0,5,201377,"('B', 'Wn', 4)",10524,910,5830,6482,0,30,,0.0,,,0.0,0.0
S,S_F,False,,0.0,6,202393,"('B', 'Wn', 4)",10338,955,5816,6290,0,30,,0.0,,,0.0,0.0
S,S_F,False,,0.0,7,202858,"('B', 'Wn', 4)",10281,906,5741,6187,0,30,,0.0,,,0.0,0.0
S,S_F,False,,0.0,8,201695,"('B', 'Wn', 4)",10435,934,5843,6376,0,30,,0.0,,,0.0,0.0
S,S_F,False,,0.0,9,202368,"('B', 'Wn', 4)",10138,911,5654,6229,0,30,,0.0,,,0.0,0.0
S,S_F,False,,0.0,10,202360,"('B', 'Wn', 4)",10402,949,5820,6345,0,30,,0.0,,,0.0,0.0
S,S_F,False,,0.0,11,203736,"('B', 'Wn', 4)",10536,918,5873,6395,0,30,,0.0,,,0.0,0.0
S,S_F,False,,0.0,12,202273,"('B', 'Wn', 4)",10718,926,5944,6527,0,30,,0.0,,,0.0,0.0
S,S_F,False,,0.0,13,201879,"('B', 'Wn', 4)",10484,954,5822,6379,0,30,,0.0,,,0.0,0.0
S,S_F,False,,0.0,14,203893,"('B', 'Wn', 4)",10699,924,5881,6479,0,30,,0.0,,,0.0,0.0
S,S_F,False,,0.0,15,202830,"('B', 'Wn', 4)",10436,955,5809,6307,0,30,,0.0,,,0.0,0.0
S,S_F,False,,0.0,16,201380,"('B', 'Wn', 4)",10320,918,5789,6342,0,30,,0.0,,,0.0,0.0
S,S_F,False,,0.0,17,202195,"('B', 'Wn', 4)",10489,916,5797,6432,0,30,,0.0,,,0.0,0.0
S,S_F,False,,0.0,18,200593,"('B', 'Wn', 4)",10458,932,5833,6494,0,30,,0.0,,,0.0,0.0
S,S_F,False,,0.0,19,201362,"('B', 'Wn', 4)",10390,877,5805,6396,0,30,,0.0,,,0.0,0.0
S,S_F,False,,0.0,20,202735,"('B', 'Wn', 4)",10252,934,5707,6264,0,30,,0.0,,,0.0,0.0
S,S_F,False,,0.05,1,,,0,525,376,1171,0,30,,0.0,,,1.0,-2.9815
S,S_F,False,,0.05,2,,,0,530,387,1226,0,30,,0.0,,,1.0,-2.9921
S,S_F,False,,0.05,3,,,0,519,369,1191,0,30,,0.0,,,1.0,-2.9674
