"# procedencia: {""fecha"": ""2026-09-15T12:09:59"", ""rama"": ""3K_kenyon_aprendido"", ""T"": 200000, ""fase2_en"": 100000, ""semillas"": 20, ""python"": ""3.14.2"", ""numpy"": ""2.4.3"", ""plataforma"": ""Windows-11-10.0.26200-SP0"", ""sha256_16"": {""organismo_3k"": ""cb5a528d123056a7"", ""run_3k"": ""8fa9aa6b38c68942"", ""PREREGISTRO"": ""f303e55005fcdec1"", ""organismo_v6"": ""5f38f83cf49248a3""}, ""malla"": {""celdas"": [[""fijo"", 0.0], [""hebb_visita"", 0.003], [""hebb_visita"", 0.01], [""hebb_visita"", 0.03], [""hebb_mordida"", 0.003], [""hebb_mordida"", 0.01], [""hebb_mordida"", 0.03], [""error"", 0.003], [""error"", 0.01], [""error"", 0.03]], ""variantes"": [""congelado"", ""aprende""]}, ""mundo"": {""n_patrones"": 20, ""px_activos"": 3, ""px_relevante"": 0, ""tren"": 10, ""test"": 10, ""particion_rng"": ""default_rng(10000+seed)""}, ""segundos"": 709.205012}"
seed,modo,k_lr,variante,deaths,acc_signo,r_clase,r_solap,Wa_test_comida,Wa_test_veneno,Wa_tren_comida,Wa_tren_veneno,prec_test,tasa_test_comida,tasa_test_veneno,prec_test_q1,tasaC_test_q1,tasaV_test_q1,prec_test_q2,tasaC_test_q2,tasaV_test_q2,prec_test_q3,tasaC_test_q3,tasaV_test_q3,prec_test_q4,tasaC_test_q4,tasaV_test_q4,prec_tren,tasa_tren_comida,tasa_tren_veneno,prec_tren_f1,mord_comida,mord_veneno,ratio_disp,ratio_media,sel_clase,solap_intra,solap_inter,ratio_solap,celdas_usadas,uso_max,ratio_disp_f2,ratio_media_f2,sel_clase_f2,solap_intra_f2,solap_inter_f2,ratio_solap_f2,celdas_usadas_f2,uso_max_f2,deriva_kw
11,fijo,0.0,congelado,297,0.7,0.6797698926978423,0.8839619080771091,-0.18843172912187844,-1.4285967645514615,0.9200788858560556,-2.636818325785288,0.7660478022920374,0.6424720519293184,0.11037644734524377,0.7491597994754643,0.6317296678121421,0.13341006886121354,0.7510576750492781,0.6269105599820447,0.12479520988348851,0.7577988169116403,0.6309696969696971,0.11537206314641657,0.8075995058064879,0.701008991008991,0.08580997939601516,0.9956726948043333,0.9962962962962962,0.004950906687629594,0.9742955175494454,829,409,1.0200648595559154,0.9149974777223149,0.17777777777777778,0.9777777777777777,0.78,1.2535612535612535,18,15,1.0200648595559154,0.9149974777223149,0.17777777777777778,0.9777777777777777,0.78,1.2535612535612535,18,15,0.0
12,fijo,0.0,congelado,294,0.85,0.8022179846880346,0.9132454089318273,0.6247989515830732,-2.5287716198036936,0.5399630072808108,-2.354940963782642,0.8564383312672492,0.9709090909090909,0.2580324283745926,0.8092134135963671,0.96,0.34157317280726573,0.8572379478107033,0.9857142857142858,0.2712383900928793,0.8738814847817618,0.9818181818181818,0.23405521225465825,0.8524452649762891,0.96,0.25510947004742174,0.896433407798187,0.9765656565656566,0.1836988409692825,0.8424175982330213,962,480,1.0107900473897657,0.8901136030428496,0.2,0.8777777777777778,0.6,1.462962962962963,17,10,1.0107900473897657,0.8901136030428496,0.2,0.8777777777777778,0.6,1.462962962962963,17,10,0.0
13,fijo,0.0,congelado,290,0.35,-0.029482966650943576,0.717782681943054,-0.4528296721578725,-0.4528296721578725,0.8279930934507952,-2.365474942490922,0.5161087675612615,0.5490375396971746,0.5168200045746516,0.5042472520588039,0.5471232790198307,0.5386287749022229,0.5069972527104212,0.5335496284230887,0.5195551230022464,0.5606061302051344,0.6359208880550343,0.5147086276447657,0.5244005461254766,0.5655775142731665,0.5167764220222132,0.902419089636463,0.968046783625731,0.163208604352805,0.9262848746936858,1124,594,0.9554642887774804,1.1494799068553057,0.15294117647058825,0.6555555555555556,0.59,1.1111111111111112,17,8,0.9554642887774804,1.1494799068553057,0.15294117647058825,0.6555555555555556,0.59,1.1111111111111112,17,8,0.0
14,fijo,0.0,congelado,336,1.0,0.9999449307136177,0.9610815023606503,0.9934266056139534,-2.765028420646391,0.931391666875157,-2.835018504443857,0.9969198538054991,1.0,0.006160292389001975,0.9970251599147122,1.0,0.005949680170575693,0.9964098948234326,1.0,0.007180210353134732,0.992190228881331,1.0,0.015619542237337991,0.9987662714384133,1.0,0.002467457123173429,0.8848236410551681,0.9727272727272727,0.20307999061693643,0.8745239735741661,623,264,0.9977954688312608,0.9616185230645757,0.24285714285714288,1.5444444444444445,0.8,1.9305555555555556,14,15,0.9977954688312608,0.9616185230645757,0.24285714285714288,1.5444444444444445,0.8,1.9305555555555556,14,15,0.0
15,fijo,0.0,congelado,264,0.4,0.2618707352989456,0.7182531712464165,-0.6842277448532306,-1.3855243067527163,0.9504642248316018,-2.641167224562431,0.5286371074657453,0.4753543500571249,0.4180801351256342,0.5134957858252878,0.44741917186613733,0.4204276002155619,0.5455142592643363,0.5042263738771784,0.4131978553485059,0.5752647709823647,0.5799045915324985,0.429375049567769,0.5194626909487217,0.4561471261930479,0.4172217442956045,0.9936976130559025,0.9966101694915255,0.009214943379720385,0.9512083504352757,879,407,1.118469958386748,1.0417426943172468,0.1625,0.7777777777777778,0.68,1.1437908496732025,16,9,1.118469958386748,1.0417426943172468,0.1625,0.7777777777777778,0.68,1.1437908496732025,16,9,0.0
16,fijo,0.0,congelado,294,0.9,0.8059501068389814,0.9911381540186603,0.44824753099797054,-1.5470662001000115,0.9994329222036527,-3.0286472814464274,0.8952859221280802,0.9944444444444445,0.20387260018828415,0.8862946912242686,1.0,0.22741061755146266,0.883909090909091,1.0,0.23218181818181818,0.8854005150447275,0.975,0.20419896991054487,0.9053333333333333,1.0,0.18933333333333333,0.9980763206128905,1.0,0.003847358774218888,0.9949250224768399,703,193,1.1839077208095419,0.8008115599607806,0.32499999999999996,1.2,0.16,7.5,16,8,1.1839077208095419,0.8008115599607806,0.32499999999999996,1.2,0.16,7.5,16,8,0.0
17,fijo,0.0,congelado,289,0.6,0.290510341599013,0.7014587075263398,-0.6774800258693864,-1.3449695461072233,0.9843849235583699,-2.8502239173744086,0.6204674010105569,0.4547005496981166,0.21376574767700282,0.5523340202057678,0.3819261520372631,0.2772581116257274,0.639005112676536,0.4830980626203184,0.2050878372672463,0.6230022289191623,0.50258860569021,0.2565841478518853,0.6361156067033618,0.4817886602825448,0.20955744687582128,0.9980789083253605,1.0,0.003842183349278967,0.9805871878705783,757,394,1.0745728998221518,0.9554301690560488,0.15294117647058825,0.6333333333333333,0.54,1.1728395061728394,17,8,1.0745728998221518,0.9554301690560488,0.15294117647058825,0.6333333333333333,0.54,1.1728395061728394,17,8,0.0
18,fijo,0.0,congelado,253,0.6,0.4072802486926726,0.5744601240625997,-1.0009749183930634,-1.8449749041183559,0.9980501632138732,-2.299574116021509,0.5581774409360458,0.4876343737051224,0.37127949183303083,0.5640133666198575,0.4952062204192022,0.36717948717948723,0.5198250473250472,0.4450555000555,0.40540540540540543,0.5769028757140009,0.5087055532337714,0.3548998018057697,0.5622418137230689,0.5042521978082132,0.3797685703620754,0.955496297661814,0.9969230769230769,0.08593048159944905,0.945687137625796,1199,661,1.1411065630890056,1.1289942514470364,0.16000000000000003,0.8888888888888888,0.82,1.084010840108401,15,10,1.1411065630890056,1.1289942514470364,0.16000000000000003,0.8888888888888888,0.82,1.084010840108401,15,10,0.0
19,fijo,0.0,congelado,337,0.7,0.5033290065753342,0.8599441423233501,0.5828932309376564,-0.23296656858770248,0.9422249339341326,-2.7450548682837907,0.7056901095695807,0.940979020979021,0.5295988018398597,0.6972964885388626,0.9384615384615385,0.5438685613838132,0.7025366411771521,0.9261904761904761,0.5211171938361719,0.7327042887355024,0.9625,0.4970914225289952,0.6837633232749705,0.9428571428571428,0.5753304963072019,0.8956652418685719,0.9767722473604827,0.18544176362333897,0.868731587292414,952,632,0.9032972279601446,1.0258677128423555,0.13333333333333336,1.3444444444444446,1.32,1.0185185185185186,15,19,0.9032972279601446,1.0258677128423555,0.13333333333333336,1.3444444444444446,1.32,1.0185185185185186,15,19,0.0
20,fijo,0.0,congelado,292,0.8,0.7884512421350783,0.9168561986048692,0.2073162110285398,-2.5103539565297845,1.0072069646925494,-3.223915234395788,0.8294296865127945,0.8653214285714286,0.20646205554583957,0.8795911865529301,0.9714285714285713,0.21224619832271108,0.8763036552139403,0.9428571428571428,0.19024983242926216,0.8187186320876308,0.8786324786324787,0.24119521445721706,0.8140058750689666,0.839787798408488,0.21177604827055485,0.9985709350839739,1.0,0.0028581298320522613,0.9862272080120184,687,230,1.0602634582125166,0.919913441871044,0.18823529411764706,0.9222222222222223,0.56,1.6468253968253967,17,11,1.0602634582125166,0.919913441871044,0.18823529411764706,0.9222222222222223,0.56,1.6468253968253967,17,11,0.0
